Encuesta de Condiciones de Vida (ECV)
Renta anual neta media (año anterior a la entrevista)
Renta por hogar por comunidades autónomas
Unidades:   Euros

;Renta media por hogar;
;2015;
Andalucía;20851.0;
Aragón;30058.0;
Asturias, Principado de;25909.0;
Balears, Illes;27284.0;
Canarias;22261.0;
Cantabria;25282.0;
Castilla y León;24838.0;
Castilla - La Mancha;21939.0;
Cataluña;30655.0;
Comunitat Valenciana;22132.0;
Extremadura;21092.0;
Galicia;25614.0;
Madrid, Comunidad de;31243.0;
Murcia, Región de;21529.0;
Navarra, Comunidad Foral de;32979.0;
País Vasco;33053.0;
Rioja, La;26604.0;
Ceuta;28280.0;
Melilla;31526.0;
Notas:
Renta anual neta media por hogar (año anterior al de la entrevista) :

Renta media por hogar (con alquiler imputado):

La definición de renta del hogar incluye el alquiler imputado. El alquiler imputado se aplica a los hogares que no pagan un alquiler completo por ser propietarios o por ocupar una vivienda alquilada a un precio inferior al de mercado o a título gratuito. El valor que se imputa es el equivalente al alquiler que se pagaría en el mercado por una vivienda similar a la ocupada, menos cualquier alquiler realmente abonado. Asimismo se deducen de los ingresos totales del hogar los intereses de los préstamos solicitados para la compra de la vivienda principal. 
Fuente: Instituto Nacional de Estadística
