Cifras Oficiales de Población de los Municipios Españoles: Revisión del Padrón Municipal
Resumen por comunidades autónomas
Población por comunidades y ciudades autónomas y tamaño de los municipios.
Unidades:   Personas

;Total;
;2016;
Total Nacional;4.6557008E7;
Andalucía;8388107.0;
Aragón;1308563.0;
Asturias, Principado de;1042608.0;
Balears, Illes;1107220.0;
Canarias;2101924.0;
Cantabria;582206.0;
Castilla y León;2447519.0;
Castilla - La Mancha;2041631.0;
Cataluña;7522596.0;
Comunitat Valenciana;4959968.0;
Extremadura;1087778.0;
Galicia;2718525.0;
Madrid, Comunidad de;6466996.0;
Murcia, Región de;1464847.0;
Navarra, Comunidad Foral de;640647.0;
País Vasco;2189534.0;
Rioja, La;315794.0;
Ceuta;84519.0;
Melilla;86026.0;
Notas:
No existen cifras a 1 de enero de 1997 porque no se realizó revisión del padrón para ese año
Fuente: Instituto Nacional de Estadística
