Encuesta de Población Activa
Parados
Tasas de paro por distintos grupos de edad, sexo y comunidad autónoma
Unidades:   Tasas

;Total;
;2016T4;
Ambos sexos;
    Andalucía;28.25;
    Aragón;13.53;
    Asturias, Principado de;14.59;
    Balears, Illes;13.8;
    Canarias;24.9;
    Cantabria;12.89;
    Castilla y León;14.81;
    Castilla - La Mancha;22.14;
    Cataluña;14.85;
    Comunitat Valenciana;19.15;
    Extremadura;28.31;
    Galicia;16.29;
    Madrid, Comunidad de;14.6;
    Murcia, Región de;18.58;
    Navarra, Comunidad Foral de;10.01;
    País Vasco;12.27;
    Rioja, La;10.9;
    Ceuta;22.39;
    Melilla;27.38;
Notas:
Los resultados de Ceuta y Melilla deben tomarse con precaución porque pueden estar afectados por grandes errores de muestreo.
Fuente: Instituto Nacional de Estadística
