"Comunidad autónoma","Número de víctimas mortales/Año 2003","Número de víctimas mortales/Año 2004","Número de víctimas mortales/Año 2005","Número de víctimas mortales/Año 2006","Número de víctimas mortales/Año 2007","Número de víctimas mortales/Año 2008","Número de víctimas mortales/Año 2009","Número de víctimas mortales/Año 2010","Número de víctimas mortales/Año 2011","Número de víctimas mortales/Año 2012","Número de víctimas mortales/Año 2013","Número de víctimas mortales/Año 2014","Número de víctimas mortales/Año 2015","Número de víctimas mortales/Año 2016","Número de víctimas mortales/Año 2017"
"Andalucía","13.0","19.0","9.0","21.0","8.0","9.0","14.0","17.0","16.0","8.0","11.0","10.0","14.0","3.0","1.0"
"Aragón","2.0","2.0","4.0","1.0","2.0","1.0","","2.0","2.0","1.0","2.0","","1.0","3.0",""
"Principado de Asturias","2.0","","1.0","3.0","2.0","1.0","","5.0","2.0","1.0","1.0","","3.0","2.0",""
"Illes Balears","4.0","2.0","4.0","3.0","1.0","1.0","1.0","2.0","1.0","2.0","2.0","3.0","1.0","6.0",""
"Canarias","6.0","2.0","6.0","4.0","6.0","5.0","5.0","7.0","3.0","2.0","2.0","1.0","3.0","2.0",""
"Cantabria","1.0","2.0","","","2.0","","","","","","1.0","","1.0","",""
"Castilla y León","4.0","2.0","4.0","3.0","3.0","6.0","1.0","4.0","2.0","2.0","4.0","3.0","2.0","6.0",""
"Castilla - La Mancha","2.0","4.0","2.0","4.0","5.0","3.0","1.0","3.0","1.0","4.0","4.0","","1.0","2.0","5.0"
"Cataluña","12.0","11.0","8.0","10.0","12.0","10.0","10.0","12.0","9.0","13.0","4.0","12.0","6.0","6.0","2.0"
"Comunitat Valenciana","7.0","9.0","6.0","8.0","10.0","10.0","9.0","8.0","8.0","6.0","9.0","7.0","11.0","6.0","3.0"
"Extremadura","1.0","2.0","","1.0","","","1.0","1.0","","1.0","1.0","","1.0","1.0","1.0"
"Galicia","5.0","2.0","1.0","","5.0","7.0","3.0","2.0","3.0","4.0","3.0","6.0","8.0","3.0","1.0"
"Comunidad de Madrid","5.0","5.0","4.0","5.0","9.0","11.0","5.0","7.0","9.0","6.0","9.0","7.0","4.0","2.0","3.0"
"Región de Murcia","3.0","4.0","2.0","3.0","2.0","4.0","2.0","1.0","2.0","","","","1.0","",""
"Comunidad Foral de Navarra","1.0","1.0","2.0","","1.0","3.0","","","1.0","","","","","","1.0"
"País Vasco","","4.0","3.0","3.0","2.0","3.0","2.0","2.0","2.0","2.0","1.0","3.0","3.0","1.0",""
"La Rioja","2.0","1.0","","","","2.0","1.0","","","","","","","",""
"Ceuta","1.0","","","","","","1.0","","","","","","","",""
"Melilla","","","1.0","","1.0","","","","","","","2.0","","1.0",""
