Encuesta de Población Activa
Parados
Parados por nivel de formación alcanzado, sexo y comunidad autónoma. Valores absolutos
Unidades: Miles Personas

;Total;;;;;;;;;;;;Analfabetos;;;;;;;;;;;;Estudios primarios incompletos;;;;;;;;;;;;Educación primaria;;;;;;;;;;;;Primera etapa de educación secundaria y similar;;;;;;;;;;;;Segunda etapa de educación secundaria, con orientación general;;;;;;;;;;;;Segunda etapa de educación secundaria con orientación profesional (incluye educación postsecundaria no superior);;;;;;;;;;;;Educación superior;;;;;;;;;;;;
;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;2016T4;2016T3;2016T2;2016T1;2015T4;2015T3;2015T2;2015T1;2014T4;2014T3;2014T2;2014T1;
    Ambos sexos;
        Nacional;4237.8;4320.8;4574.7;4791.4;4779.5;4850.8;5149.0;5444.6;5457.7;5427.7;5622.9;5933.3;31.1;33.2;32.0;34.0;36.0;39.5;42.6;47.0;47.5;46.7;46.0;49.5;109.7;114.9;121.5;122.1;130.6;147.0;151.2;140.4;152.3;167.2;157.0;163.3;447.1;482.5;502.5;545.2;533.4;541.3;572.4;616.3;630.9;638.3;673.0;704.9;1682.5;1691.9;1822.2;1912.9;1891.3;1875.1;2056.9;2176.5;2107.7;2118.7;2208.3;2315.5;536.4;551.8;609.5;604.7;601.1;626.2;676.3;708.8;736.8;702.0;745.4;790.5;433.5;430.1;476.2;515.8;503.9;501.4;507.1;555.6;543.4;515.4;566.1;574.5;997.4;1016.4;1010.8;1056.6;1083.1;1120.3;1142.5;1200.1;1239.3;1239.4;1227.1;1335.2;
        Andalucía;1120.3;1133.8;1161.1;1189.2;1198.3;1281.9;1260.5;1359.1;1395.7;1419.1;1400.3;1403.4;7.8;11.7;8.6;12.7;13.3;15.3;12.6;15.5;17.9;21.9;17.7;15.5;47.5;50.5;52.0;48.0;49.1;51.3;54.7;51.3;65.9;70.6;59.7;58.4;140.7;145.7;157.2;148.1;154.4;169.5;179.2;189.6;203.2;202.2;196.8;192.0;485.8;495.3;498.5;528.5;500.9;543.6;535.2;585.2;579.7;591.1;613.6;622.2;101.4;103.6;112.9;113.2;113.8;136.4;126.9;133.7;131.7;135.2;138.5;131.8;119.2;105.9;116.1;112.8;123.0;132.3;117.6;131.1;133.8;132.5;133.4;124.6;217.9;221.0;215.8;225.9;243.8;233.4;234.2;252.6;263.4;265.5;240.7;258.9;
        Aragón;87.8;96.9;99.5;98.9;93.7;97.0;110.8;119.7;120.7;119.7;136.3;148.4;0.6;0.1;0.1;..;0.0;0.9;0.1;2.2;2.4;2.6;0.6;..;2.4;3.2;2.1;1.8;1.7;2.0;2.8;3.2;3.6;3.8;2.3;4.6;11.1;13.3;9.1;8.6;11.7;11.7;15.9;17.5;18.3;19.7;20.1;19.2;23.7;29.6;33.5;33.7;30.1;27.7;33.4;38.1;34.9;32.5;37.2;44.5;14.9;15.4;19.2;22.2;18.3;18.0;20.9;22.8;22.2;19.6;24.3;27.1;11.0;11.6;13.1;10.7;9.4;12.9;12.5;12.0;11.7;11.7;21.1;18.0;24.1;23.7;22.4;21.9;22.6;23.8;25.2;24.0;27.5;29.8;30.7;35.0;
        Asturias, Principado de;67.3;80.9;91.2;90.9;95.8;79.5;93.0;87.2;98.4;95.8;99.7;109.3;..;..;..;0.2;0.2;0.4;0.2;0.4;0.4;..;..;0.5;0.2;..;0.3;0.2;0.5;0.4;0.5;0.5;1.3;1.3;1.0;1.5;7.4;7.2;8.5;9.4;9.2;7.8;10.6;7.2;8.8;9.5;8.5;10.1;21.1;26.8;27.9;26.0;30.2;23.7;30.4;28.4;30.2;31.1;38.5;40.2;7.9;10.6;13.0;10.8;12.5;9.3;11.8;9.5;11.0;8.6;9.7;10.8;6.9;8.0;9.4;8.5;7.4;7.2;8.6;9.8;10.5;12.8;10.4;10.8;23.7;28.4;32.0;35.8;35.9;30.8;30.9;31.2;36.1;32.5;31.5;35.4;
        Balears, Illes;81.9;67.9;81.9;110.8;102.8;89.5;103.5;130.7;111.4;101.0;118.0;152.5;0.7;0.3;2.4;3.1;2.1;2.1;2.6;1.6;1.9;2.2;1.6;2.1;3.1;1.6;1.5;1.9;3.4;4.3;3.8;2.7;3.3;4.7;4.3;4.0;3.3;4.4;5.8;7.6;7.2;8.0;9.1;12.0;9.5;9.9;10.7;12.5;39.6;31.9;40.3;53.3;46.9;38.1;40.9;57.5;50.5;42.4;49.0;65.3;12.7;11.1;13.4;15.1;17.7;15.9;21.3;22.8;19.4;13.8;18.9;24.5;9.0;7.4;6.3;13.4;11.5;7.7;10.4;11.1;9.9;8.8;10.4;14.1;13.5;11.2;12.1;16.3;14.0;13.3;15.3;23.0;16.8;19.2;23.2;30.0;
        Canarias;274.0;286.7;300.8;285.2;297.1;317.2;336.5;343.5;342.2;362.3;356.9;356.0;0.8;0.8;0.3;1.2;1.3;3.3;3.7;1.6;1.1;1.3;1.5;1.6;7.9;11.4;10.2;8.5;10.7;14.2;8.8;9.2;11.3;16.4;14.2;14.8;33.8;37.1;43.8;43.0;45.7;43.3;41.4;57.5;55.7;58.1;59.1;58.1;104.9;104.2;107.6;102.6;111.7;113.9;136.8;130.1;119.9;129.7;131.1;133.4;39.6;39.5;45.6;42.3;40.9;43.2;49.4;47.9;49.0;54.3;55.6;58.9;30.6;31.4;33.6;33.9;33.5;33.9;33.4;30.6;32.9;28.6;29.1;26.7;56.5;62.3;59.7;53.7;53.3;65.4;63.0;66.7;72.3;73.9;66.2;62.4;
        Cantabria;35.7;34.8;42.3;51.8;48.6;45.1;50.1;51.5;51.2;54.1;53.8;58.4;0.1;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;1.1;0.3;0.2;0.1;0.2;..;0.3;1.5;2.4;2.2;2.3;1.1;1.7;1.9;2.9;3.3;3.8;4.8;4.0;11.3;11.3;14.6;21.4;19.9;17.9;21.5;21.5;21.4;19.0;17.4;20.8;6.3;4.5;5.0;5.9;7.4;5.4;6.1;6.9;7.5;8.2;7.4;7.7;5.1;4.4;5.5;6.1;5.7;5.6;5.9;3.9;5.3;6.8;7.7;9.7;11.4;12.2;15.0;16.1;14.6;13.5;14.4;16.1;13.7;16.1;16.5;15.9;
        Castilla y León;169.1;160.5;186.5;209.4;201.4;190.8;213.1;233.7;234.3;226.0;246.6;257.4;1.6;0.5;1.0;2.1;1.6;2.0;1.1;2.5;1.8;2.9;1.9;3.0;4.3;3.5;5.4;5.4;4.2;4.0;5.0;3.8;3.9;3.7;3.1;3.7;20.0;21.5;22.2;23.1;21.2;20.9;23.9;26.0;24.5;21.3;26.6;28.7;66.2;59.0;71.3;78.6;80.9;72.7;82.1;85.3;91.7;85.6;93.4;93.3;16.4;19.3;22.5;26.6;22.7;22.5;24.9;27.8;28.8;26.1;27.5;30.8;18.9;17.0;20.4;24.9;20.8;19.9;22.9;28.5;25.8;24.9;29.6;30.6;41.6;39.8;43.7;48.5;49.8;48.9;53.3;59.9;57.8;61.5;64.5;67.3;
